,unit
0,cup
1,nan
2,stalk
3,tablespoon
4,teaspoon
5,clove
6,pound
7,ounce
8,pinch
9,sprig
10,dash
11,slice
12,head
13,bunch
14,box
15,dozen
16,sheet
17,piece
18,pint
19,fillet
20,gallon
21,quart
22,strip
23,bottle
24,drop
25,cake
26,scoop
27,stick
28,ear
29,can
30,bulb
31,package
32,loaf
33,layer
34,rack
35,envelope
36,leaf
37,ball
38,chunk
39,knob
40,bag
41,rectangle
42,inch
43,pair
44,shake
45,wedge
46,branch
47,half
48,packet
49,handful
50,fifth
51,steak
52,splash
53,log
54,slab
55,grind
56,square
57,milliliter
58,liter
59,twist
60,cube
61,gram
62,bowl
63,stem
64,vial
65,length
66,segment
67,plate
68,foot
69,cluster
70,fluid ounce
71,glass
72,bar
73,link
74,spiral
75,hatch
76,basket
77,part
78,pat
79,sliver
80,jar
81,side
82,hunk
83,thread
84,batch
85,lobe
86,portion
87,serving
88,root
89,shot
90,tablespoons
91,small
92,cloves
93,cups
94,ounces
95,pounds
96,very small
97,teaspoons
98,large
99,1 1/2-pound
100,750-ml bottle
101,dashes
102,medium-size
103,pieces
104,4- to 5-pound
105,pinches
106,stems
107,medium
108,pinch
109,3- to 4-pound
110,full sprigs
111,6-pound
112,sprigs
113,small sprigs
114,8-inch
115,ounces 1 stick
116,2-pound
117,leaves
118,3/4- inch-thick
119,bunches
120,long
121,thin slices
122,small piece
123,medium-sized
124,inch long piece
125,scant pinch
126,2 1/2-pound
127,8 to 9 ounces
128,3 1/2-pound
129,1-pound bag
130,2-ounce piece
131,slices
132,large bunch
133,cans
134,inchlong piece
135,8-ounce packages
136,stalks
137,large sprig
138,quarts
139,6-ounce bag
140,slice
141,large can
142,very small head
143,14-ounce can
144,3-inch stick
145,28-ounce can
146,750-milliliter bottle
147,1/4-inch piece
148,8- to 10-pound
149,2-inch piece
150,inchwide ball
151,3-inch
152,pods
153,medium cloves
154,3-inch piece
155,46-ounce
156,15-ounce can
157,ripe
158,small leaves
159,tbsp.
160,tsp.
161,handful
162,cubes
163,7-ounce tube
164,3 1/2- to 4-pound
165,large clove
166,dozen medium
167,medium-small
168,28-ounce cans
169,2 by 4 inches
170,ears
171,small chunk
172,inch-thick slice
173,15-ounce container
174,medium slice
175,15-ounce cans
176,dried
177,large knob
178,sticks
179,3 1/2 pound
180,thinly sliced
181,very large
182,7-inch
183,20-ounce can
184,1-inch-thick slice
185,racks
186,5-to-7-pound
187,ribs
188,grams
189,feet
190,heads
191,large cloves
192,7-pound
193,segments
194,thumb-size piece
195,pints
196,12-ounce bottles
197,small bunch
198,4-inch stick
199,12-ounce piece filet
200,bulbs
201,large ears
202,smoked
203,fresh
204,12-ounce piece
205,4-inch round
206,large pinch
207,small pinch
208,7 1/2 -ounce packages
209,chunks
210,scant cups
211,leafy sprig
212,bushy sprigs
213,12-ounce cans
214,one-pound
215,slices
216,small handfuls
217,thick slices
218,4 inches long
219,liters
220,10-pound piece
221,heaping teaspoon
222,chopped
223,small-to-medium
224,1/2 inch
225,1 inch
226,48-ounce can
227,12-ounce bottle
228,crushed
